state,state_code,year,education,education_code,region,births,avg_birth_weight_g,sd_birth_weight_g,avg_mother_age,sd_mother_age,avg_gestational_age_wks,sd_gestational_age_wks
Connecticut,09,2024,"Bachelor's degree (BA, AB, BS)",6,Northeast,8915,3320.55,570.57,32.83,4.21,38.75,2.19
Connecticut,09,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,6110,3336.91,564.76,33.07,3.83,38.87,2.2
Connecticut,09,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,5961,3324.81,582.94,33.17,3.72,38.85,2.3
Connecticut,09,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,5961,3353.56,572.49,33.28,3.75,38.9,2.18
Connecticut,09,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,5936,3337.37,569.38,33.33,3.71,38.86,2.24
Connecticut,09,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,5830,3346.28,541.22,33.39,3.77,38.93,2.02
Connecticut,09,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,6590,3333.37,577.28,33.54,3.8,38.75,2.2
Connecticut,09,2022,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,6611,3326.01,569.5,33.59,3.85,38.76,2.23
Connecticut,09,2023,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,6415,3327.49,564.1,33.59,3.91,38.78,2.15
Connecticut,09,2024,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,6417,3333.84,555.24,33.67,3.87,38.77,2.15
Connecticut,09,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,1414,3302.89,568.94,34.23,3.84,38.78,2.3
Connecticut,09,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,1444,3311.45,576.26,34.27,3.85,39.02,2.33
Connecticut,09,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,1456,3316.89,563.88,34.26,3.78,38.82,2.17
Connecticut,09,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,1508,3318.37,535.99,34.29,3.92,38.98,1.99
Connecticut,09,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,1465,3314.41,522.78,34.44,3.87,38.91,1.99
Connecticut,09,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,1586,3300.09,518.13,34.33,3.72,38.78,1.96
Connecticut,09,2022,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,1682,3326.53,505.79,34.4,3.64,38.94,1.81
Connecticut,09,2023,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,1612,3313.89,535.73,34.5,3.75,38.81,2.12
Connecticut,09,2024,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,1763,3318.75,535.15,34.59,3.69,38.83,2.04
Maine,23,2016,8th grade or less,1,Northeast,162,3268.22,592.82,29.69,6.45,38.76,2.15
Maine,23,2017,8th grade or less,1,Northeast,204,3269.15,660.68,30.92,6.92,38.67,2.52
Maine,23,2018,8th grade or less,1,Northeast,191,3300.69,600.64,30.26,6.1,38.76,2.38
Maine,23,2019,8th grade or less,1,Northeast,162,3329.96,519.15,30.0,6.25,38.94,2.16
Maine,23,2020,8th grade or less,1,Northeast,167,3347.43,522.68,30.19,6.41,38.87,1.99
Maine,23,2021,8th grade or less,1,Northeast,194,3339.85,581.86,29.64,6.2,38.88,2.4
Maine,23,2022,8th grade or less,1,Northeast,214,3241.45,628.64,30.31,7.17,38.41,2.59
Maine,23,2023,8th grade or less,1,Northeast,198,3287.02,587.91,30.58,7.12,38.59,2.3
Maine,23,2024,8th grade or less,1,Northeast,196,3255.8,546.59,29.32,7.12,38.6,2.08
Maine,23,2016,9th through 12th grade with no diploma,2,Northeast,676,3193.53,576.36,23.8,5.94,38.84,2.55
Maine,23,2017,9th through 12th grade with no diploma,2,Northeast,664,3191.8,607.47,24.1,6.14,38.66,2.65
Maine,23,2018,9th through 12th grade with no diploma,2,Northeast,628,3151.49,629.66,24.03,5.94,38.52,2.74
Maine,23,2019,9th through 12th grade with no diploma,2,Northeast,630,3175.6,628.76,24.7,6.11,38.7,2.81
Maine,23,2020,9th through 12th grade with no diploma,2,Northeast,628,3189.5,583.11,24.64,6.35,38.64,2.52
Maine,23,2021,9th through 12th grade with no diploma,2,Northeast,603,3179.23,598.34,24.53,6.31,38.48,2.58
Maine,23,2022,9th through 12th grade with no diploma,2,Northeast,613,3145.37,579.89,24.79,6.19,38.4,2.56
Maine,23,2023,9th through 12th grade with no diploma,2,Northeast,605,3149.6,599.35,25.29,6.4,38.33,2.63
Maine,23,2024,9th through 12th grade with no diploma,2,Northeast,601,3173.95,616.65,25.13,6.49,38.48,2.57
Maine,23,2016,High school graduate or GED completed,3,Northeast,3531,3297.82,624.67,26.17,5.33,38.88,2.58
Maine,23,2017,High school graduate or GED completed,3,Northeast,3329,3290.26,592.21,26.48,5.32,38.8,2.43
Maine,23,2018,High school graduate or GED completed,3,Northeast,3303,3288.39,608.16,26.71,5.31,38.74,2.53
Maine,23,2019,High school graduate or GED completed,3,Northeast,2920,3280.11,615.61,27.01,5.41,38.68,2.6
Maine,23,2020,High school graduate or GED completed,3,Northeast,2892,3273.39,610.46,26.84,5.39,38.63,2.49
Maine,23,2021,High school graduate or GED completed,3,Northeast,2855,3275.97,609.08,27.24,5.43,38.56,2.55
Maine,23,2022,High school graduate or GED completed,3,Northeast,2881,3242.65,632.0,27.29,5.45,38.58,2.67
Maine,23,2023,High school graduate or GED completed,3,Northeast,2806,3247.14,619.86,27.49,5.59,38.59,2.54
Maine,23,2024,High school graduate or GED completed,3,Northeast,2885,3261.05,601.43,27.55,5.51,38.55,2.4
Maine,23,2016,"Some college credit, but not a degree",4,Northeast,2628,3384.81,582.56,27.63,4.98,39.01,2.27
Maine,23,2017,"Some college credit, but not a degree",4,Northeast,2560,3334.23,589.15,27.75,5.16,38.89,2.39
Maine,23,2018,"Some college credit, but not a degree",4,Northeast,2663,3339.29,584.34,28.31,5.15,38.9,2.28
Maine,23,2019,"Some college credit, but not a degree",4,Northeast,2563,3316.68,580.9,28.29,5.16,38.69,2.38
Maine,23,2020,"Some college credit, but not a degree",4,Northeast,2446,3318.32,610.57,28.73,5.25,38.6,2.49
Maine,23,2021,"Some college credit, but not a degree",4,Northeast,2377,3302.41,582.41,28.95,5.2,38.64,2.35
Maine,23,2022,"Some college credit, but not a degree",4,Northeast,2256,3307.39,593.76,29.02,5.15,38.6,2.37
Maine,23,2023,"Some college credit, but not a degree",4,Northeast,2124,3289.51,579.51,29.15,5.22,38.61,2.23
Maine,23,2024,"Some college credit, but not a degree",4,Northeast,2020,3291.89,595.3,29.26,5.25,38.57,2.41
Maine,23,2016,"Associate degree (AA, AS)",5,Northeast,1245,3387.23,613.07,29.6,4.62,38.79,2.38
Maine,23,2017,"Associate degree (AA, AS)",5,Northeast,1204,3380.94,584.75,29.67,4.67,38.77,2.25
Maine,23,2018,"Associate degree (AA, AS)",5,Northeast,1186,3353.2,592.03,29.68,4.82,38.71,2.52
Maine,23,2019,"Associate degree (AA, AS)",5,Northeast,1114,3347.45,576.51,29.9,4.41,38.67,2.37
Maine,23,2020,"Associate degree (AA, AS)",5,Northeast,982,3351.48,588.34,29.92,4.51,38.64,2.23
Maine,23,2021,"Associate degree (AA, AS)",5,Northeast,1094,3326.65,600.76,30.07,4.64,38.66,2.29
Maine,23,2022,"Associate degree (AA, AS)",5,Northeast,1138,3313.5,609.03,30.35,4.68,38.55,2.33
Maine,23,2023,"Associate degree (AA, AS)",5,Northeast,966,3333.99,567.12,30.46,4.76,38.56,2.08
Maine,23,2024,"Associate degree (AA, AS)",5,Northeast,1000,3310.47,592.57,30.61,4.62,38.5,2.44
Maine,23,2016,"Bachelor's degree (BA, AB, BS)",6,Northeast,2818,3429.71,567.64,31.08,4.34,39.02,2.15
Maine,23,2017,"Bachelor's degree (BA, AB, BS)",6,Northeast,2777,3411.11,583.89,31.25,4.3,38.99,2.15
Maine,23,2018,"Bachelor's degree (BA, AB, BS)",6,Northeast,2799,3400.65,561.79,31.32,4.2,38.95,2.1
Maine,23,2019,"Bachelor's degree (BA, AB, BS)",6,Northeast,2763,3415.64,542.6,31.5,4.34,38.92,2.05
Maine,23,2020,"Bachelor's degree (BA, AB, BS)",6,Northeast,2750,3396.62,557.58,31.59,4.21,38.88,2.01
Maine,23,2021,"Bachelor's degree (BA, AB, BS)",6,Northeast,3094,3384.27,562.13,31.6,4.23,38.79,2.18
Maine,23,2022,"Bachelor's degree (BA, AB, BS)",6,Northeast,3125,3369.51,568.46,31.67,4.33,38.76,2.04
Maine,23,2023,"Bachelor's degree (BA, AB, BS)",6,Northeast,3112,3354.47,557.97,31.72,4.25,38.77,2.19
Maine,23,2024,"Bachelor's degree (BA, AB, BS)",6,Northeast,3048,3359.35,556.78,31.92,4.37,38.79,2.02
Maine,23,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,1243,3422.99,558.56,32.76,3.96,39.0,2.12
Maine,23,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,1180,3382.85,594.51,32.8,3.77,38.91,2.1
Maine,23,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,1155,3418.27,552.25,32.93,3.86,38.92,2.1
Maine,23,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,1209,3398.26,586.13,33.16,3.98,38.76,2.36
Maine,23,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,1241,3399.44,563.85,33.22,3.87,38.78,2.21
Maine,23,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,1326,3378.42,571.96,33.07,3.87,38.76,2.13
Maine,23,2022,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,1367,3392.4,557.36,33.42,3.97,38.79,2.08
Maine,23,2023,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,1346,3374.06,551.18,33.26,3.93,38.76,2.0
Maine,23,2024,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Northeast,1384,3378.88,548.27,33.34,3.99,38.63,2.09
Maine,23,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,379,3396.61,545.96,33.31,3.94,39.02,1.9
Maine,23,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,359,3400.14,519.41,33.45,3.68,39.04,1.74
Maine,23,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,368,3349.01,580.78,33.61,4.0,38.7,2.3
Maine,23,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,387,3304.1,621.83,33.91,3.71,38.61,2.31
Maine,23,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,366,3369.69,539.42,33.94,4.2,38.92,2.35
Maine,23,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,421,3388.81,552.2,33.9,3.79,38.81,1.99
Maine,23,2022,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,452,3365.11,556.54,33.95,3.8,38.76,1.75
Maine,23,2023,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,425,3332.08,602.96,33.84,3.69,38.55,1.94
Maine,23,2024,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Northeast,419,3370.96,544.02,34.06,3.7,38.73,1.81
Massachusetts,25,2016,8th grade or less,1,Northeast,1651,3234.3,609.46,29.31,6.55,38.62,2.67
Massachusetts,25,2017,8th grade or less,1,Northeast,1636,3232.69,560.19,29.76,6.41,38.63,2.57
Massachusetts,25,2018,8th grade or less,1,Northeast,1488,3256.82,568.27,29.88,6.43,38.71,2.5
Massachusetts,25,2019,8th grade or less,1,Northeast,1437,3240.08,580.94,30.06,6.79,38.6,2.57
Massachusetts,25,2020,8th grade or less,1,Northeast,1361,3239.51,569.96,30.01,6.63,38.6,2.55
Massachusetts,25,2021,8th grade or less,1,Northeast,1189,3228.62,565.85,30.12,6.64,38.56,2.36
Massachusetts,25,2022,8th grade or less,1,Northeast,1581,3240.46,574.75,30.0,6.48,38.64,2.59
Massachusetts,25,2023,8th grade or less,1,Northeast,1636,3235.97,571.8,30.53,6.55,38.3,2.5
Massachusetts,25,2024,8th grade or less,1,Northeast,1657,3220.41,529.45,30.23,6.36,38.49,2.46
Massachusetts,25,2016,9th through 12th grade with no diploma,2,Northeast,4615,3198.0,598.57,26.22,6.54,38.73,2.67
Massachusetts,25,2017,9th through 12th grade with no diploma,2,Northeast,4522,3184.64,600.19,26.42,6.63,38.63,2.6
Massachusetts,25,2018,9th through 12th grade with no diploma,2,Northeast,4157,3187.36,591.06,26.64,6.76,38.65,2.65
Massachusetts,25,2019,9th through 12th grade with no diploma,2,Northeast,4080,3172.76,591.41,26.9,6.74,38.57,2.6
Massachusetts,25,2020,9th through 12th grade with no diploma,2,Northeast,3799,3206.36,592.89,26.92,6.71,38.57,2.69
Massachusetts,25,2021,9th through 12th grade with no diploma,2,Northeast,3773,3183.07,585.46,27.32,6.85,38.43,2.52
Massachusetts,25,2022,9th through 12th grade with no diploma,2,Northeast,4085,3193.0,576.08,27.65,6.83,38.55,2.63
Massachusetts,25,2023,9th through 12th grade with no diploma,2,Northeast,4120,3175.24,582.9,27.59,6.87,38.38,2.52
Massachusetts,25,2024,9th through 12th grade with no diploma,2,Northeast,4370,3185.75,570.95,27.96,6.74,38.49,2.52
Massachusetts,25,2016,High school graduate or GED completed,3,Northeast,11189,3248.93,607.24,27.71,5.85,38.77,2.61
Massachusetts,25,2017,High school graduate or GED completed,3,Northeast,11055,3246.8,587.11,27.76,5.84,38.74,2.54
Massachusetts,25,2018,High school graduate or GED completed,3,Northeast,10954,3245.86,584.0,27.99,5.93,38.72,2.48
Massachusetts,25,2019,High school graduate or GED completed,3,Northeast,10883,3242.64,593.07,28.07,5.88,38.67,2.57
Massachusetts,25,2020,High school graduate or GED completed,3,Northeast,10978,3244.34,584.09,28.29,5.92,38.67,2.49
Massachusetts,25,2021,High school graduate or GED completed,3,Northeast,10811,3226.91,595.64,28.14,5.82,38.54,2.48
Massachusetts,25,2022,High school graduate or GED completed,3,Northeast,11381,3211.75,585.22,28.31,5.85,38.6,2.46
Massachusetts,25,2023,High school graduate or GED completed,3,Northeast,11260,3223.02,587.67,28.44,5.93,38.52,2.47
Massachusetts,25,2024,High school graduate or GED completed,3,Northeast,11681,3227.32,577.22,28.62,5.89,38.6,2.42
Massachusetts,25,2016,"Some college credit, but not a degree",4,Northeast,13241,3293.82,598.94,28.88,5.42,38.83,2.47
Massachusetts,25,2017,"Some college credit, but not a degree",4,Northeast,12858,3286.89,589.13,29.05,5.28,38.82,2.46
Massachusetts,25,2018,"Some college credit, but not a degree",4,Northeast,12377,3270.81,600.04,29.27,5.38,38.72,2.54
Massachusetts,25,2019,"Some college credit, but not a degree",4,Northeast,12086,3260.11,595.71,29.51,5.37,38.72,2.47
Massachusetts,25,2020,"Some college credit, but not a degree",4,Northeast,11169,3264.93,588.28,29.68,5.38,38.71,2.39
Massachusetts,25,2021,"Some college credit, but not a degree",4,Northeast,11061,3259.19,597.77,29.93,5.37,38.61,2.42
Massachusetts,25,2022,"Some college credit, but not a degree",4,Northeast,10349,3246.81,589.25,30.06,5.28,38.64,2.44
Massachusetts,25,2023,"Some college credit, but not a degree",4,Northeast,9910,3249.49,588.52,30.18,5.33,38.6,2.44
Massachusetts,25,2024,"Some college credit, but not a degree",4,Northeast,9637,3254.32,580.17,30.43,5.34,38.62,2.34
Massachusetts,25,2016,"Associate degree (AA, AS)",5,Northeast,4431,3313.76,590.35,31.09,4.84,38.8,2.29
Massachusetts,25,2017,"Associate degree (AA, AS)",5,Northeast,4355,3308.38,604.74,31.11,4.75,38.78,2.41
Massachusetts,25,2018,"Associate degree (AA, AS)",5,Northeast,4182,3306.48,590.94,31.28,4.86,38.8,2.36
